langCode	pageTitle	resultFilePage	source	confidence_class	rating
ar	.sc	File:Zamalek_SC_icon.png	ms	low	-1
ar	.sc	File:Subchaser_SC-216_SC-131_and_SC-147_moored_in_the_Mediterranean.jpg	ms	low	-1
ar	.sc	File:Sc-1.jpg	ms	low	-1
ar	.tj	File:TJ_Lokomotiva_Petrovice_v_TJ_Břidličná_(26_August_2020)_05.jpg	ms	low	-1
ar	.tj	File:Prostitute_tj.jpg	ms	low	-1
ar	11_أغسطس	File:Main_Street_of_Dawson_City,_Yukon_(3900543650).jpg	ms	low	-1
ar	14_سبتمبر	File:Muttrah-Muscat_مطرح،_مسقط_21.jpg	ms	low	-1
ar	14_سبتمبر	File:Ed_Rendell_ID2004_crop.JPG	ms	low	-1
ar	14_سبتمبر	File:Mosquée_Fadhloun,_2018-2.jpg	ms	low	-1
ar	230_(عدد)	File:Klagenfurt_Innere_Stadt_Landhaus_NO-Ansicht_03082017_0269.jpg	ms	low	-1
ar	230_(عدد)	File:San_Francisco_from_Twin_Peaks_September_2013_panorama_2.jpg	ms	low	-1
ar	230_(عدد)	File:Nijmegen,_straatzicht_op_de_Van_Schaeck_Mathonsingel_positie2_foto11_2016-06-08_10.41.jpg	ms	low	-1
ar	230_(عدد)	File:1_toledo_spain_evening_sunset_2014_DXR_edit.jpg	ms	low	-1
ar	30_سرطان	File:Diagram_showing_stage_3B_cervical_cancer_CRUK_226-ar.png	ms	low	1
ar	30_سرطان	File:Diagram_showing_stage_1A_cervical_cancer_CRUK_200-ar.png	ms	low	-1
ar	30_سرطان	File:Breast_Cancer_Awareness_Month_141020-F-XA488-017.jpg	ms	low	1
ar	30_سرطان	File:Diagram_showing_stage_4A_cervical_cancer_CRUK_236-ar.png	ms	low	-1
ar	30_سرطان	File:Esther_Earl_photo.png	ms	low	0
ar	30_سرطان	File:Diagram_showing_stage_2A_cervical_cancer_CRUK_212-ar.png	ms	low	0
ar	30_سرطان	File:Diagram_showing_stage_4B_cervical_cancer_CRUK_239-ar.png	ms	low	0
ar	30_سرطان	File:CuritibaBotanicoOutubroRosa.JPG	ms	low	-1
ar	3C_20	File:C20a.png	ms	low	-1
ar	5_محرم	File:Ahmed_Muharram.jpg	ms	low	-1
ar	691_ق_م	File:Funeral_pithos,_Potnia_theron,_Fortetsa_near_Knossos,_850-800_BC,_AMH,_079075.jpg	ms	low	0
ar	691_ق_م	File:Kantharos,_Late_Geometric_I,_AM_of_Mycenae,_201677.jpg	ms	low	0
ar	88_(عدد)	File:نه_دهم.gif	ms	low	-1
ar	88_(عدد)	File:ععد_به_توان_صفر.gif	ms	low	-1
ar	88_(عدد)	File:Monument_afsluitdijk_en_omgeving_28-06-2019._(actm.)_02.jpg	ms	low	-1
ar	88_(عدد)	File:Pept1-gl.jpg	ms	low	-1
ar	ATP9A	File:British_Aerospace_ATP,_Euro_Direct_AN0215689.jpg	ms	low	-1
ar	ATP9A	File:West_Air_LX-WAV_ATP_CVT_(27230654877).jpg	ms	low	-1
ar	ATP9A	File:ATP-syntase_step9.png	ms	low	-1
ar	ATP9A	File:Rafael_Nadal_-_ATP_World_Tour_Finals_-_001.jpg	ms	low	-1
ar	ATP9A	File:M-ATPS_Gulfstream_G550_(27804855583).jpg	ms	low	-1
ar	GLIS2	File:Popielica_(Glis_Glis)_002.JPG	ms	low	-1
ar	GLIS2	File:Glis_glis_.jpg	ms	low	-1
ar	GLIS2	File:Popielica_(Glis_Glis)_003.JPG	ms	low	-1
ar	GLIS2	File:Glis_glis_0738.JPG	ms	low	-1
ar	GLIS2	File:Glis-glis.jpg	ms	low	-1
ar	GLIS2	File:Glis_glis_range_map.png	ms	low	-1
ar	HLA-B22	File:Nicols_Russell_Zabelka.jpg	ms	low	-1
ar	HLA-B57	File:Comparative_test_of_integrating_wattmeters_(1908)_(14578036990).jpg	ms	low	-1
ar	HLA-B57	File:NGC_1852_HST_9891_57_ACS_R814_G_B555.png	ms	low	-1
ar	HLA-B57	File:Comparative_test_of_integrating_wattmeters_(1908)_(14578036990).jpg	ms	low	0
ar	HLA-B57	File:Anton_Wachsmann_Franz_Carl_Alter.jpg	ms	low	-1
ar	HSPA12A	File:PBB_GE_HSPA6_117_at_fs.png	ms	low	0
ar	HSPA12A	File:PBB_GE_HSPA14_219212_at_tn.png	ms	low	-1
ar	HSPA12A	File:PBB_GE_HSPA6_117_at_tn.png	ms	low	-1
ar	HSPA12A	File:PBB_GE_HSPA2_211538_s_at_fs.png	ms	low	1
ar	HSPA12A	File:PBB_GE_HSPA6_213418_at_tn.png	ms	low	-1
ar	MARC1	File:Barça_-_Napoli_-_20140806_-_Marc-André_ter_Stegen_1.jpg	ms	low	-1
ar	MARC1	File:Marc_J._Miguez_(1).jpg	ms	low	-1
