Big Ben,en,Q41225,Q4905080,Q858516,Q2902145,Q858503,Q342107,Q12785867,Q21937151,Q21939306,Q31473279,Q21937152,Q21966177,Q4905078,Q31708143,Q23959291,Q21963571,Q31708174,Q21963572,Q31708159,Q31676809,Q31880297,Q97331712,Q49399531,Q31688414,Q4905081,Q4905082,Q51622858,Q28042556,Q2676434,Q64539830,Q3599630,Q30901872,Q96278603,Q4905086,Q4905083,Q21958540,Q97331713,Q22413738,Q7249006,Q21938562,Q21918094,Q29096490,Q4687030,Q29075175,Q24263564,Q816453,Q3486618,Q295364,Q599161,Q537679,
Difficulte duriner,fr,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
ileU-Bahn Rhein Main Map,en,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
.smd,en,Q248963,Q12740266,Q29731779,Q7545148,Q10676,Q1616226,Q16977138,Q59992680,Q55758043,Q75717628,Q55783257,Q78557672,Q78555745,Q78558744,Q78557108,Q78554179,Q7391135,Q78553893,Q78557040,Q78557668,Q78554157,Q78558113,Q78555932,Q96403628,Q78557890,Q78556293,Q78556491,Q78557743,Q78555733,Q78558811,Q78554967,Q64142611,Q78555927,Q78555058,Q78557805,Q78558635,Q78558132,Q78558266,Q78553801,Q78553747,Q78554639,Q78557915,Q78554026,Q87898124,Q30292092,Q98811060,Q59523152,Q72662070,Q33831615,Q72012794,
CSI,en,Q264198,Q5014135,Q974327,Q2497161,Q1062998,Q18205765,Q5051308,Q18293169,Q12692142,Q59535375,Q5146845,Q18111351,Q50035603,Q93356455,Q17006511,Q5189164,Q30255636,Q43896740,Q33121833,Q30269630,Q30296962,Q30297797,Q30295080,Q30296723,Q21585349,Q14947476,Q43895305,Q56584116,Q30291564,Q30271569,Q192259,Q1870070,Q4035692,Q189411,Q50380827,Q16919551,Q1024356,Q92195265,Q1987465,Q50380851,Q50380838,Q117396,Q18515753,Q2354458,Q20747052,Q50380886,Q856471,Q580483,Q435756,Q435753,
Cafe Nell,en,Q96374251,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
future cup,en,Q102183512,Q13427597,Q4608520,Q7669203,Q11647208,Q56316973,Q17655582,Q17666858,Q17655562,Q40684953,Q100377053,Q43551497,Q39869790,Q97521760,Q90240998,Q48051089,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Jezus redt,nl,Q2449458,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Miss James,en,Q97155927,Q211414,Q182725,Q94037819,Q6876643,Q3859177,Q66725225,Q55006523,Q42857721,Q60767392,Q85258018,Q20504776,Q64235714,Q85795351,Q7977106,Q13423727,Q55022018,Q10330864,Q6878002,Q28836807,Q3071301,Q27895331,Q28537308,Q55022020,Q55020994,Q23940177,Q55017905,Q59544766,Q5308062,Q64338145,Q28533074,Q17190953,Q16253249,Q7752848,Q28050522,Q28030815,Q25944,Q55183244,Q72959646,Q52252204,Q28532856,Q59701482,Q57311933,Q95516174,Q19857402,Q55018700,Q73597904,Q55018697,Q104792661,Q95504109,
norges bank,en,Q970769,Q19383459,Q49373537,Q11992018,Q17194624,Q14566662,Q11992019,Q19383460,Q7050589,Q99671933,Q11964745,Q23719435,Q11971399,Q3330279,Q81704,Q19791472,Q56611711,Q56404342,Q84753735,Q3878596,Q41800053,Q1123823,Q83484194,Q19792037,Q61168717,Q55216968,Q30090475,Q7573578,Q19792036,Q7079580,Q7573579,Q11992095,Q8289117,Q266471,Q16944386,Q72981022,Q19791484,Q17103304,Q19383461,Q11984311,Q15933598,Q19375208,Q56866430,Q17194820,Q12002177,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,NO_ENTITY,
Paul Gauguin,en,Q37693,Q3371294,Q3758939,Q3898057,Q3898058,Q28943193,Q3719946,Q19869142,Q20789668,Q930535,Q500951,Q92640656,Q76424044,Q1118465,Q80989478,Q85224976,Q3212828,Q2504917,Q11690352,Q1627187,Q52084660,Q11790258,Q26706667,Q30067704,Q2872722,Q67158981,Q46731825,Q97691373,Q35711275,Q97690272,Q19882559,Q96098654,Q94637093,Q3869871,Q75661206,Q76424046,Q11918682,Q3235403,Q11918699,Q4179482,Q79790705,Q72979796,Q8191814,Q20554037,Q79889781,Q52287212,Q42879389,Q83507928,Q55408591,Q19869311,
